EmployeeID,FullName,Position,Department,Date,InTime,OutTime,TotalTime,Status
EID-02,,,,2025-02-09,,,,Absent
EID-06,,,,2025-02-09,,,,Absent
EID-07,,,,2025-02-09,,,,Absent
EID-02,,,,2025-02-10,,,,Absent
EID-06,,,,2025-02-10,,,,Absent
EID-07,,,,2025-02-10,,,,Absent
EID-02,,,,2025-02-11,,,,Absent
EID-06,,,,2025-02-11,,,,Absent
EID-07,,,,2025-02-11,,,,Absent
EID-02,,,,2025-02-12,,,,Absent
EID-06,,,,2025-02-12,,,,Absent
EID-07,,,,2025-02-12,,,,Absent
EID-02,,,,2025-02-13,,,,Absent
EID-06,,,,2025-02-13,,,,Absent
EID-07,,,,2025-02-13,,,,Absent
EID-02,,,,2025-02-14,,,,Absent
EID-06,,,,2025-02-14,,,,Absent
EID-07,,,,2025-02-14,,,,Absent
EID-02,,,,2025-02-15,,,,Absent
EID-06,,,,2025-02-15,,,,Absent
EID-07,,,,2025-02-15,,,,Absent
EID-02,,,,2025-02-16,,,,Absent
EID-06,,,,2025-02-16,,,,Absent
EID-07,,,,2025-02-16,,,,Absent
EID-02,,,,2025-02-17,,,,Absent
EID-06,,,,2025-02-17,,,,Absent
EID-07,,,,2025-02-17,,,,Absent
EID-02,,,,2025-02-18,,,,Absent
EID-06,,,,2025-02-18,,,,Absent
EID-07,,,,2025-02-18,,,,Absent
EID-02,,,,2025-02-19,,,,Absent
EID-06,,,,2025-02-19,,,,Absent
EID-07,,,,2025-02-19,,,,Absent
EID-02,,,,2025-02-20,,,,Absent
EID-06,,,,2025-02-20,,,,Absent
EID-07,,,,2025-02-20,,,,Absent
EID-02,,,,2025-02-21,,,,Absent
EID-06,,,,2025-02-21,,,,Absent
EID-07,,,,2025-02-21,,,,Absent
EID-02,,,,2025-02-22,,,,Absent
EID-06,,,,2025-02-22,,,,Absent
EID-07,,,,2025-02-22,,,,Absent
EID-02,,,,2025-02-23,,,,Absent
EID-06,,,,2025-02-23,,,,Absent
EID-07,,,,2025-02-23,,,,Absent
EID-02,,,,2025-02-24,,,,Absent
EID-06,,,,2025-02-24,,,,Absent
EID-07,,,,2025-02-24,,,,Absent
EID-02,,,,2025-02-25,,,,Absent
EID-06,,,,2025-02-25,,,,Absent
EID-07,,,,2025-02-25,,,,Absent
EID-02,,,,2025-02-26,,,,Absent
EID-06,,,,2025-02-26,,,,Absent
EID-07,,,,2025-02-26,,,,Absent
EID-02,,,,2025-02-27,,,,Absent
EID-06,,,,2025-02-27,,,,Absent
EID-07,,,,2025-02-27,,,,Absent
EID-02,,,,2025-02-28,,,,Absent
EID-06,,,,2025-02-28,,,,Absent
EID-07,,,,2025-02-28,,,,Absent
EID-02,,,,2025-03-01,,,,Absent
EID-06,emp6,Operator,electrical,2025-03-01,11:31 PM,11:31 PM,,PRESENT
EID-07,,,,2025-03-01,,,,Absent
EID-02,emp2,Manager,computer-science,2025-03-02,01:42 PM,01:42 PM,,PRESENT
EID-06,,,,2025-03-02,,,,Absent
EID-07,,,,2025-03-02,,,,Absent
EID-02,emp2,Manager,computer-science,2025-03-03,09:12 PM,09:14 PM,0.03,PRESENT
EID-06,,,,2025-03-03,,,,Absent
EID-07,emp8,Operator,computer-science,2025-03-03,0.00,0.00,,HOLIDAY
EID-02,,,,2025-03-04,,,,Absent
EID-06,,,,2025-03-04,,,,Absent
EID-07,,,,2025-03-04,,,,Absent
EID-02,,,,2025-03-05,,,,Absent
EID-06,,,,2025-03-05,,,,Absent
EID-07,emp8,Operator,computer-science,2025-03-05,0.00,0.00,,WEEKEND
EID-02,,,,2025-03-06,,,,Absent
EID-06,,,,2025-03-06,,,,Absent
EID-07,emp8,Operator,computer-science,2025-03-06,0.00,0.00,,PRESENT
EID-02,,,,2025-03-07,,,,Absent
EID-06,,,,2025-03-07,,,,Absent
EID-07,,,,2025-03-07,,,,Absent
EID-02,,,,2025-03-08,,,,Absent
EID-06,,,,2025-03-08,,,,Absent
EID-07,emp8,Operator,computer-science,2025-03-08,0.00,0.00,,WEEKEND
EID-02,emp2,Manager,computer-science,2025-03-09,12:34 PM,12:35 PM,0.02,ON LEAVE
EID-06,,,,2025-03-09,,,,Absent
EID-07,emp8,Operator,computer-science,2025-03-09,0.00,0.00,,ABSENT
